boat|折纸小船|A small folded paper boat floating alone, side view, one clear triangular fold and wide hull.|扬帆的木船|A wooden sailboat in three-quarter view, one broad curved sail, mast, rounded hull, two plank seams and a small rudder, no passengers.
kite|蝴蝶结风筝|A diamond kite facing front with a curved string and two large bow knots.|燕子风筝|A swallow-shaped traditional kite with broad wing shapes, forked tail and two elegant trailing ribbons, no dense patterns.
bench|圆角小长椅|A simple rounded wooden bench front view, seat, backrest and two sturdy legs.|公园铁艺长椅|A park bench at three-quarter view, three broad back slats, curved armrests and visible joined legs, no background.
butterfly|圆翅小蝴蝶|One butterfly front view, four broad rounded wings, oval body, two antennae and two large unfilled wing spots.|停在花枝上的蝴蝶|One swallowtail butterfly perched side-on on a single small flower sprig, open wings with just three large separated vein divisions, delicate antennae.
squirrel|抱果子的小松鼠|A round squirrel sitting with one acorn, large curled tail as one broad shape, tiny ears.|跳跃的松鼠|A natural red squirrel leaping sideways with clear separated front and rear feet, sweeping bushy tail, short ear tufts and a small acorn held in front paws.
bird|抬头的小鸟|One plump bird side view with round belly, small beak and one simple folded wing, two feet.|展开翅膀的小鸟|One graceful robin landing with both wings opened, clearly separated broad feathers, fanned tail and feet reaching down, no branch or scenery.
cat|趴着的小猫|One sweet kitten lying belly-down, rounded head, two triangular ears, chin resting on front paws, short curled tail beside body. Very few interior marks.|伸懒腰的小猫|One young cat in a deep playful stretch, both front paws forward, raised hindquarters and upright curved tail, clear four-leg anatomy, three contour tufts only.
rabbit|抱萝卜的小兔|One little rabbit seated front view holding a large carrot, long simple ears and two large feet.|侧身跳跃的兔子|One natural rabbit hopping in a side three-quarter view, swept-back ears, separated long hind legs, small rounded tail, gentle expressive face.
fish|圆肚子小鱼|One small round fish in side view, broad fan tail, one dorsal fin and one simple side fin, no scales.|扇尾金鱼|One elegant fantail goldfish in three-quarter view, flowing split tail, broad fin lobes and three sparse body scale arcs, no bubbles.
turtle|圆壳小乌龟|One small land turtle side view, dome shell with only two dividing arcs, four stubby legs and friendly head.|游泳的海龟|One sea turtle in a gentle top three-quarter view with large graceful front flippers, smaller rear flippers and six broad shell plates, no sea scene.
flower|五瓣小花|A single five-petal round flower on a gently curved stem with two broad leaves.|弯枝上的花朵|A single elegant cosmos-like flower in a slight side view with overlapping broad petals and one unopened bud on a branching curved stem.
mushroom|圆帽蘑菇|One broad mushroom with round cap, stout stem and three large unfilled cap spots.|两朵林间蘑菇|A distinctive pair of woodland mushrooms, one tall tilted cap and one short round cap, subtle curved gill divisions below the tall cap, no tiny texture.
tree|圆冠小树|One young tree, a single cloud-like canopy, forked trunk and two visible branches.|舒展的老树|One expressive mature broadleaf tree with a leaning trunk, three clearly joined branches, four large canopy masses and two exposed roots, no individual leaf texture.
rocket|圆窗小火箭|One upright toy rocket with rounded pointed nose, one big round window and two side fins, no fire.|侧飞的探险火箭|One retro exploration rocket angled diagonally, two portholes, swept fins, a joined engine nozzle and one broad flame shape, clear connected body panels.
balloon|心形气球|One heart-shaped balloon with a tiny tied neck and long loose curling string.|三只庆祝气球|Three overlapping balloons in round, long oval and star shapes, clearly separate outlines, tied at one point with a broad bow, no scene.
umbrella|三瓣小雨伞|An open umbrella facing front with three broad canopy lobes and one curved hook handle.|斜放的长柄伞|One open long-handled umbrella tilted diagonally in three-quarter view, five broad canopy panels, visible straight shaft and curved wooden handle.
robot|方头小机器人|One cute toy robot front view with rounded square head, two circular eyes, rectangular body, simple arm tubes and broad feet.|滚轮探险机器人|One friendly small rover robot with a rounded capsule body on two large wheels, one telescopic eye mast and two expressive mechanical arms, clear joined parts.
giraffe|低头的小长颈鹿|One baby giraffe standing side view, long neck bent gently down, four simple legs, three large unfilled patches.|回头的长颈鹿|One graceful giraffe in three-quarter view turning its head back, natural long legs and long neck, small horns, mane indicated by four short marks and six large patches only.
horse|圆鬃小马|One pony standing side view with a large smooth mane, rounded muzzle, four clear legs and a simple sweeping tail.|小跑的骏马|One elegant horse trotting in a side view, one front knee lifted, clear jointed limbs, flowing mane grouped into three locks and a broad tail, no saddle.
